genes	cluster
Map4k1	3
Tapbp	1
Pdgfrb	6
Tsnax	3
Prkra	3
Il1r2	3
AI467606	3
Kpna3	1
Il6ra	3
Tmem120b	1
Ptgs2	2
Gmeb2	1
Haus8	3
Evi2a	8
Dhcr7	3
Tmem67	1
Znrf2	3
Gm11545	3
Slc35g1	3
Ppp1r12b	3
Slc9a3r2	3
Fgd3	3
Fam50a	3
Elmo2	3
Atp6v0a2	8
Dnajc3	3
Tap1	1
Rhpn1	3
Cavin1	2
Galm	5
Plekhn1	1
Shroom4	3
Slc7a11	1
Arhgef10	3
Triobp	1
Glipr1	3
Cpq	3
Grasp	1
Kirrel	2
Dnase2a	3
Tor1a	3
Ncoa5	1
Nanos1	5
Lta	1
Tram2	3
Gde1	3
Agpat5	3
Fam102a	3
Enox2	1
Fyn	1
Dgkh	1
Tesk1	2
Stard10	3
Plod3	1
Grhpr	7
Gpc1	2
Pogk	1
Ppm1k	1
Orai2	5
Dnal1	8
Tbl1x	1
Ydjc	3
Igsf9	1
Atr	1
Atp7a	1
Ift57	2
Smg7	1
Amn1	1
Fbxo31	3
Smyd5	2
Cd72	2
Cdkl5	1
Ccdc92	3
Frmd5	4
Dennd4b	1
Slc25a24	5
Rexo4	1
Sinhcaf	1
Tra2a	1
Slc39a11	3
Nav1	5
Traf6	1
Cds1	1
Pdxp	3
Cldn4	2
Ube2z	1
Smox	2
Rinl	3
Gapt	3
Insm1	2
Cdk17	1
Usp47	1
Tasor2	1
Mrc2	2
Cd36	9
Crat	3
Lmo1	5
Enpp4	5
Mdm2	4
Tspan14	3
Rnf13	3
Etv5	3
Pitpna	3
Rasd1	1
Rhbdf1	2
Ero1lb	3
Pip4k2a	3
Dynlt1a	3
Mindy2	3
Egr1	3
E330020D12Rik	3
Mns1	3
Slc1a2	1
Cby1	3
Tbc1d15	2
Ddx24	1
Kit	1
Gng10	3
Mx2	1
Hibch	3
Htra2	1
Zscan29	1
Mast4	1
Gcsh	3
Tspan4	3
Hsph1	2
Poglut2	3
Cpeb4	1
Cmtm7	3
Tbl2	3
Kdm6b	1
Marcks	1
Tank	1
Bcor	2
Pik3r1	1
Cd200r1	3
Plxnb2	3
Atad2b	1
Foxp1	2
Letm2	1
Srf	3
Chmp4b	1
Hivep2	8
Galk1	3
Shmt2	3
Ccdc107	3
Dhcr24	3
Cbfa2t3	1
Ftsj1	3
Sap30	1
Mccc2	3
Tfap4	3
Zfyve28	3
Hap1	2
Pilra	10
