PeakID	Irf1_0	Irf1_120	Irf4_0	Irf4_120	Junb_0	Junb_120	Rela_0	Rela_120	Relb_0	Relb_120	Rel_0	Rel_120	Stat1_0	Stat1_120	Stat2_0	Stat2_120	Stat3_0	Stat3_120
peak28561	4.43	1.29	4.50	2.37	4.67	3.83	0.00	0.00	3.12	1.04	1.61	1.60	0.48	0.56	0.00	1.28	1.26	0.80
peak23940	6.65	7.73	0.00	1.78	4.67	5.74	1.11	4.84	3.12	5.20	0.00	3.19	0.36	1.79	0.00	2.57	0.63	3.20
peak16948	27.69	24.48	133.60	73.56	31.11	44.00	2.23	39.65	5.19	8.32	12.89	14.36	1.94	13.50	12.31	11.54	4.40	13.60
peak15064	1.11	12.89	3.00	0.00	7.78	0.00	0.00	1.93	3.12	1.04	0.00	0.00	1.21	3.46	0.00	3.85	0.00	0.80
peak13656	3.32	6.44	13.51	1.78	1.56	9.57	4.46	14.51	2.08	9.35	1.61	7.98	1.57	11.94	0.00	6.41	4.40	9.60
peak3310	15.51	18.04	6.00	7.71	12.45	22.96	10.03	69.64	4.16	13.51	4.83	22.34	1.57	4.35	2.73	3.85	2.51	2.40
peak23455	7.75	3.87	6.00	2.37	20.22	19.13	2.23	18.38	2.08	3.12	0.00	1.60	0.97	14.95	1.37	6.41	0.00	8.00
peak13712	0.00	1.29	0.00	1.78	0.00	1.91	0.00	0.97	0.00	2.08	1.61	1.60	0.60	0.22	0.00	0.00	2.51	1.60
peak7434	2.22	3.87	9.01	4.75	4.67	5.74	3.34	4.84	2.08	3.12	1.61	1.60	0.85	1.45	0.00	1.28	1.89	4.80
peak12692	14.40	55.41	70.55	24.91	20.22	21.05	1.11	8.70	6.23	22.87	3.22	3.19	1.09	4.46	4.10	1.92	1.89	1.60
peak19451	1.11	0.00	7.51	1.19	0.00	0.00	3.34	0.00	1.04	2.08	0.00	1.60	1.33	0.56	4.10	0.64	0.63	0.80
