PeakID	Uns	CpG	pIC	all3	PU.1_0hr	PU.1_CpG	PU.1_pIC	Rela_0hr	Rela_CpG	RelB_CpG	p300_0hr	p300_CpG	p300_pIC	cREL_0hr	cREL_CpG	cREL_pIC	IRF3_0hr	IRF3_CpG	IRF3_pIC	IRF5_0hr	IRF5_CpG	IRF5_pIC
peak10112	0.87	0.29	0.85	5.98	3.91	3.51	4.70	0.92	0.51	0.69	1.29	0.99	0.00	0.58	1.02	1.77	1.77	0.76	4.25	0.62	2.63	2.14
peak11292	2.02	1.44	3.11	4.55	1.04	1.00	1.65	0.00	1.03	0.35	0.77	0.99	0.49	0.00	1.02	4.13	1.77	0.00	0.00	9.24	3.09	4.42
peak23138	15.30	10.08	26.59	11.67	7.83	4.26	6.35	0.92	2.56	5.18	4.12	1.97	4.93	1.73	3.57	4.13	9.76	18.17	9.36	8.01	12.06	13.97
peak7878	97.29	119.54	67.62	136.86	67.08	66.35	69.10	2.77	3.08	8.64	13.92	23.19	24.66	4.60	27.55	21.81	41.71	45.43	105.47	14.58	44.37	42.76
peak9059	5.49	6.34	9.34	11.10	8.09	13.27	13.40	0.92	28.70	39.40	6.18	12.83	18.25	2.30	33.67	29.47	6.21	15.14	43.38	8.42	28.75	34.63
peak11665	3.46	6.34	7.36	6.26	1.83	1.75	1.41	1.38	0.00	3.80	1.03	0.99	0.49	0.00	2.04	0.59	2.66	0.00	0.00	5.75	5.26	3.42
peak1860	2.89	3.74	6.22	2.28	4.70	4.76	3.76	1.84	1.03	2.77	0.77	1.97	2.96	0.58	2.04	1.18	0.89	0.00	0.85	0.21	0.93	1.57
peak13536	16.17	27.37	5.94	30.73	24.79	21.03	15.75	2.31	3.59	1.38	4.90	2.96	2.96	0.58	8.16	5.30	4.44	6.82	13.61	8.01	9.89	7.55
peak29579	8.95	6.91	13.86	15.36	15.66	15.02	31.73	2.77	0.00	3.46	6.70	8.88	14.80	0.00	1.53	0.59	0.89	0.00	2.55	1.44	0.46	1.85
peak17600	4.91	6.91	1.98	5.69	7.57	7.76	4.00	1.84	3.08	3.46	3.09	2.47	1.48	0.58	4.59	4.13	2.66	3.79	6.80	2.88	10.20	12.40
peak13618	32.62	11.52	15.56	7.97	34.71	29.30	30.32	0.92	0.00	7.60	9.53	9.87	8.39	2.30	12.75	4.13	30.17	41.65	43.38	9.04	31.54	27.51
peak905	4.33	11.23	19.52	13.94	1.30	3.76	5.88	1.84	3.08	8.30	1.55	2.47	5.92	1.15	4.08	8.25	0.89	3.03	6.80	3.90	4.48	6.13
peak17207	7.22	2.02	4.53	0.57	7.31	7.26	7.99	0.00	1.54	1.38	1.29	0.00	1.97	0.58	2.04	1.77	5.32	9.09	3.40	2.26	3.56	3.56
peak12054	53.70	65.10	63.37	72.56	50.11	60.09	62.76	5.07	34.34	112.68	9.53	48.34	43.41	1.73	46.93	51.86	24.85	31.05	261.13	5.75	109.45	80.24
peak19702	4.04	6.05	7.92	5.12	3.39	5.01	3.76	0.00	0.00	2.77	1.80	2.96	1.97	0.58	2.04	1.18	0.00	2.27	2.55	2.26	3.09	2.00
peak14873	45.90	31.69	25.18	25.32	52.20	45.32	54.77	4.61	24.09	17.97	12.63	16.77	24.66	10.35	49.99	60.12	115.37	137.82	320.67	19.31	75.29	111.02
peak7333	14.43	11.23	7.64	15.36	0.00	0.50	0.94	0.00	0.00	2.77	1.29	1.97	2.96	0.00	0.51	1.18	1.77	0.76	1.70	7.60	3.40	4.70
